Dependencia,count,mean,std,min,25%,50%,75%,max
HOSPITAL UNIVERSITARIO,105549.0,9631.383248728078,4168.207964440686,175.41,6946.2,8629.98,11622.83,85007.77
FAC. DE ING. MECANICA Y ELECTRICA,35035.0,20479.725817896393,11402.530515081942,297.42,11146.905,19061.1,28131.8,118943.89
FAC. DE MEDICINA,34295.0,18330.53293278904,11872.347237149843,474.68,9261.54,15221.28,24443.29,129748.17
ESC.IND.Y PREPA.TEC.ALVARO OBREGON,21477.0,13136.46428272105,7824.823355165479,205.36,7767.26,10788.57,17009.2,70605.09
FAC. DE CONTADURIA PUBLICA Y ADMON.,20089.0,14751.867493155461,8678.563532545531,474.28,8392.6,12085.65,19621.03,90982.69
FAC. DE ARQUITECTURA,17011.0,13775.756979601434,8844.570591957407,223.93,7085.51,11760.43,18823.504999999997,79814.57
FAC. DE CIENCIAS QUIMICAS,16092.0,16397.886150882427,10565.98995089593,408.75,7609.55,14165.759999999998,25553.05,95110.87
FAC. DE CIENCIAS BIOLOGICAS,15811.0,18374.859788122194,13441.71243647929,177.2,8550.52,14686.3,24406.775,144501.4
FACULTAD DE DERECHO Y CRIMINOLOGIA,15658.0,14080.70162217397,9685.78496711945,364.69,7052.33,11098.69,20028.56,67797.71
FAC. DE FILOSOFIA Y LETRAS,11894.0,14848.268658146966,10039.90744663127,405.9,7669.29,12065.795,20172.81,129748.17
FAC. DE CIENCIAS FISICO-MATEMATICAS,11200.0,17389.044830357143,11026.517535020424,390.87,8183.3025,14546.41,26404.29,69929.26
ESCUELA PREPARATORIA # 7,10164.0,13611.623139512003,7635.308596231956,409.32,8211.63,11482.155,17490.44,64638.02
ESCUELA PREPARATORIA #22,9172.0,14502.17426079372,8124.934377966031,211.75,8537.79,12897.17,18981.989999999998,64545.72
ESCUELA PREPARATORIA # 3,8855.0,13610.683447769621,8401.437125235583,415.39,7971.055,11359.38,16779.375,68582.59
ESCUELA INDUSTRIAL Y PREPARATORIA TECNICA PABLO LIVAS,8740.0,13107.318409610984,7210.077721729221,437.69,7975.1,11793.8,16882.66,66060.03
FAC. DE PSICOLOGIA,8672.0,14726.392327029522,10513.789148503425,405.9,7506.825,10634.25,20618.98,80386.2
ESCUELA PREPARATORIA # 1,8444.0,13918.564409047845,7398.011689413461,248.05,8234.2,13181.875,17847.5725,70695.53
FAC. DE ING. CIVIL,8279.0,15151.602811933808,10614.858273369562,457.16,7952.469999999999,11587.78,20123.55,101727.07
FACULTAD DE CIENCIAS POLÍTICAS Y RELACIONES INTERNACIONALES,8270.0,15844.477758162031,11240.711899333704,572.91,7980.5275,13652.055,20838.635000000002,78185.81
ESCUELA Y PREPARATORIA TECNICA MEDICA,8032.0,13649.448193476095,8605.382367934837,294.44,7816.07,11434.05,17717.4625,73983.28
ESCUELA PREPARATORIA #15,7945.0,17894.058250471997,9868.018638727766,698.05,10713.88,16165.1,22090.06,72693.55
CENTRO UNIVERSITARIO DE SALUD,7892.0,11244.955111505324,6442.348934528833,245.38,7716.16,10078.77,13266.45,108406.53
FAC. DE ODONTOLOGIA,7821.0,16754.41257639688,10983.647536169763,697.96,8416.04,13794.68,21909.32,86275.97
FAC. DE ORGANIZACION DEPORTIVA,7716.0,14591.433237428719,9842.513115536447,405.9,7946.08,11645.220000000001,18374.1625,111296.88
FAC. DE CIENCIAS DE LA COMUNICACION,7638.0,15277.201246399582,8792.414743663874,637.65,8422.6525,13082.04,20027.87,64032.63
ESCUELA PREPARATORIA # 9,7538.0,15751.176111700717,7368.694092151194,1039.71,10466.140000000001,14612.525,19463.9625,65394.43
ESCUELA PREPARATORIA # 2,7387.0,14615.57456342223,7382.652212156439,1094.07,9442.465,12890.81,18291.155,67005.01
DIRECCION DE SERVICIOS MEDICOS,7123.0,11150.19301417942,4940.902367400437,177.2,8080.325,9818.32,13428.66,61731.77
FACULTAD DE SALUD PUBLICA Y NUTRICION,6578.0,13787.696391000307,9816.857427795498,547.04,7154.7925000000005,10567.56,18748.932500000003,78631.96
FAC. DE AGRONOMIA,5645.0,16954.196380868023,12232.511474033045,381.94,8450.61,12928.38,21489.62,125886.32
ESCUELA PREPARATORIA # 8,5590.0,15012.293427549193,7203.2059589389455,811.8,9617.69,14319.575,18570.01,58577.49
FAC. DE ENFERMERIA,5390.0,15771.806096474957,9358.955562899744,725.47,8762.28,13181.03,21413.26,64993.9
DIRECCION DE DEPORTES,5200.0,12180.160786538463,7023.711188150653,205.36,8526.54,10954.005000000001,13642.97,113355.29
ESCUELA PREPARATORIA #16,5182.0,14077.349654573523,8245.02889792919,1713.87,8554.467499999999,11798.1,17903.89,69367.2
