group1,group2,meandiff,p-adj,lower,upper,reject
AUDITORIA INTERNA DE LA U.A.N.L.,C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,-539.0509,1.0,-2812.0213,1733.9196,False
AUDITORIA INTERNA DE LA U.A.N.L.,C.DE ESTUDIOS HUMANISTICOS,2598.3148,0.0985,-109.8845,5306.5141,False
AUDITORIA INTERNA DE LA U.A.N.L.,C.DE INV.Y DES.DE ED.BILINGUE,1509.5787,0.0,383.3225,2635.835,True
AUDITORIA INTERNA DE LA U.A.N.L.,CAPILLA ALFONSINA BIBLIOTECA UNIVERSITARIA,-1204.4825,0.0521,-2411.8391,2.8741,False
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO ACUATICO OLIMPICO UNIVERSITARIO,-1228.7876,0.0819,-2494.4002,36.8251,False
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE ACONDICIONAMIENTO FISICO MAGISTERIAL,-2061.9741,0.0,-3529.9532,-593.995,True
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE DESARROLLO DE AGRONEGOCIOS,2877.3561,0.1344,-186.1647,5940.877,False
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE DESARROLLO EMPRESARIAL,4825.0363,0.0,1722.402,7927.6706,True
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE DESARROLLO INTEGRAL DEL ESTUDIANTE,1199.2037,1.0,-8960.0293,11358.4367,False
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE ESTUDIOS Y CERTIFICACIÓN DE LENGUAS EXTRANJERAS,2607.2342,0.0,838.625,4375.8433,True
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE EVALUACIONES,-1657.1292,0.0383,-3289.9263,-24.3322,True
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE FOMENTO GANADERO VALLECILLO,-1331.4743,0.5576,-2960.3342,297.3856,False
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE INCUBACION DE EMPRESAS Y TRANSF. DE TECNOLOGIA,5213.8126,0.0,3532.2394,6895.3858,True
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE INVESTIGACION EN PRODUCCION AGROPECUARIA,-2913.7793,0.0,-4058.0227,-1769.536,True
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE INVESTIGACION Y DESARROLLO EN CIENCIAS DE LA SALUD,-1844.9651,0.0,-3168.2332,-521.6971,True
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE VINCULACION SOCIAL Y EMPRESARIAL,2052.8007,0.9995,-1378.5235,5484.1249,False
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO DE VINCULACIÓN Y EMPRESAS UNIVERSITARIAS,1244.763,1.0,-1554.9176,4044.4436,False
AUDITORIA INTERNA DE LA U.A.N.L.,CENTRO UNIVERSITARIO DE SALUD,-1748.5368,0.0,-2650.8904,-846.1832,True
AUDITORIA INTERNA DE LA U.A.N.L.,CONTRALORIA GENERAL,3306.247,0.0,1822.4611,4790.0328,True
AUDITORIA INTERNA DE LA U.A.N.L.,CTRO. DE INF. DE HISTORIA REGIONAL,359.0089,1.0,-1524.6764,2242.6942,False
AUDITORIA INTERNA DE LA U.A.N.L.,CTRO. DE INVESTIGACIÓN; INNOVACIÓN Y DESARROLLO DE LAS ARTES,-245.1803,1.0,-1953.5199,1463.1593,False
AUDITORIA INTERNA DE LA U.A.N.L.,DEPARTAMENTO DE ADQUISICIONES,3635.2259,0.0,1616.0757,5654.3761,True
AUDITORIA INTERNA DE LA U.A.N.L.,DEPARTAMENTO DE BECAS,82.2339,1.0,-1133.5205,1297.9883,False
AUDITORIA INTERNA DE LA U.A.N.L.,DEPARTAMENTO ESCOLAR Y DE ARCHIVO,-2369.8059,0.0,-3373.4573,-1366.1546,True
AUDITORIA INTERNA DE LA U.A.N.L.,DEPTO. DE PERSONAL,-3007.5427,0.0,-4526.565,-1488.5203,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE ACTIVIDADES ESTUDIANTILES,-1980.0105,0.163,-4118.1382,158.1172,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE BIBLIOTECAS,-709.2826,0.9063,-1689.134,270.5687,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE COMUNICACION INSTITUCIONAL,883.2807,0.9992,-574.897,2341.4585,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE COMUNICACION INSTITUCIONAL Y RELACIONES PUBLICAS,3080.4782,0.0,1549.6506,4611.3059,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE CONSTRUCCION Y MANTENIMIENTO,580.7365,1.0,-594.406,1755.879,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE DEPORTES,-813.3312,0.4268,-1773.5031,146.8408,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE DESARROLLO CULTURAL,-823.0988,0.9875,-2068.1899,421.9923,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE EDITORIAL UNIVERSITARIA,-976.9289,0.9793,-2426.0676,472.2098,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE INVESTIGACION,379.5361,1.0,-1144.1601,1903.2323,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE PREVENCION Y PROTECCION UNIVERSITARIA,-2314.0023,0.0,-3377.5914,-1250.4133,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE RADIO Y TELEVISION UNIVERSITARIA,319.9424,1.0,-1333.1546,1973.0394,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE RECURSOS HUMANOS Y NOMINAS,320.3036,1.0,-905.5914,1546.1986,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE SERVICIO SOCIAL Y PRACTICAS PROFESIONALES,2348.8987,0.0,1100.5135,3597.2839,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE SERVICIOS GENERALES,-3019.7589,0.0,-4135.3341,-1904.1837,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE SERVICIOS MEDICOS,-1843.2989,0.0,-2758.0117,-928.5862,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE TECNOLOGIAS DE INFORMACION,-1537.6432,0.0,-2613.5958,-461.6905,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DE UNIDADES ACADEMICAS,35713.4081,0.0002,7052.6938,64374.1223,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DEL PROGRAMA DE FUTBOL AMERICANO,-3607.96,0.0,-5147.2965,-2068.6236,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION DEL SISTEMA DE ESTUDIOS DE POSGRADO,4056.1721,0.0,1873.896,6238.4482,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION GENERAL ADMINISTRATIVA,4662.7576,0.0,3109.6209,6215.8943,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION GENERAL DE PLANEACION Y PROYECTOS ESTRATEGICOS,4551.4959,0.0,3344.5048,5758.4871,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION GENERAL DE TECNOLOGÍAS Y DESARROLLO DIGITAL,1378.1261,0.0001,293.3941,2462.858,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION RESPONSABILIDAD SOCIAL UNIVERSITARIA (SS),16792.2981,0.0,5527.849,28056.7472,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCION TECNICA DE LA RECTORIA,1791.8701,1.0,-3332.3053,6916.0455,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN ADMINISTRATIVA DE LA SIID,14293.3556,0.0,8823.2921,19763.4191,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE ADMINISTRACIÓN DE CALIDAD,3426.0269,0.8482,-1170.383,8022.4369,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE DESARROLLO DE MODELOS TECNOLÓGICOS,13108.569,0.0,7436.1248,18781.0132,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE DESARROLLO INSTITUCIONAL ACADÉMICO,4081.8592,0.6509,-1042.3163,9206.0346,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE EDUCACIÓN DIGITAL,-454.1608,1.0,-2024.3237,1116.0021,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE EDUCACIÓN INCLUSIVA,1594.4476,1.0,-4563.2058,7752.101,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE EMPRENDIMIENTO Y DESARROLLO EMPRESARIAL,-413.6551,1.0,-3749.7744,2922.4642,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE ESTUDIOS INCORPORADOS,-2366.4564,0.9978,-6161.4127,1428.5,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE FORMACIÓN INTEGRAL AL ESTUDIANTE,-2164.2923,0.6129,-4852.3818,523.7973,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE FORMACIÓN Y DESARROLLO PROFESIONAL,10193.5703,0.0,7224.6429,13162.4976,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE HUMANIDADES E HISTORIA,2310.603,0.7792,-708.0456,5329.2517,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE INNOVACIÓN EDUCATIVA,6558.153,0.0,2471.4748,10644.8311,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE INNOVACIÓN Y DESARROLLO DE MODELOS TECNOLÓGICOS,-1661.5193,1.0,-5018.0592,1695.0206,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE INNOVACIÓN Y EMPRENDIMIENTO,4401.9495,0.2041,-436.1357,9240.0346,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE INTERCAMBIO ACADÉMICO,4432.6508,0.0,2110.4948,6754.8069,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE INVESTIGACIÓN EDUCATIVA,17198.7231,0.0,9993.994,24403.4521,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE LA UNIDAD PARA LA IGUALDAD DE GÉNERO,-148.7044,1.0,-11870.9601,11573.5513,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE PLANEACIÓN ESTRATÉGICA EN INNOVACIÓN,-4201.4642,1.0,-12874.8237,4471.8952,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE RELACIONES INTERNACIONALES,4026.7003,0.0,1844.4241,6208.9764,True
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DE SISTEMA DE ESTUDIOS DEL NIVEL MEDIO SUPERIOR,1907.0422,0.1291,-117.5865,3931.6708,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN DEL SISTEMA DE ESTUDIOS DE LICENCIATURA,47.2117,1.0,-1663.0386,1757.4619,False
AUDITORIA INTERNA DE LA U.A.N.L.,DIRECCIÓN GENERAL DE RADIO Y TELEVISIÓN UNIVERSITARIA,-1928.9787,0.0,-3057.5034,-800.4541,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESC.IND.Y PREPA.TEC.ALVARO OBREGON,142.9723,1.0,-683.2627,969.2074,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA INDUSTRIAL Y PREPARATORIA TECNICA PABLO LIVAS,113.8265,1.0,-777.2736,1004.9265,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA # 1,925.0725,0.027,30.2855,1819.8594,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA # 2,1622.0826,0.0,711.8834,2532.2819,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA # 3,617.1915,0.9597,-272.5387,1506.9217,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA # 4,-300.3522,1.0,-1337.3055,736.6011,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA # 5,1526.1084,0.005,160.043,2892.1737,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA # 6,195.8068,1.0,-1062.0657,1453.6793,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA # 7,618.1312,0.9425,-258.0785,1494.3409,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA # 8,2018.8015,0.0,1070.1686,2967.4344,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA # 9,2757.6842,0.0,1849.9337,3665.4346,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #10,1.2758,1.0,-1468.7001,1471.2516,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #11,-1858.545,0.001,-3419.4403,-297.6497,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #12,903.083,0.6351,-225.5619,2031.728,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #13,1059.4012,0.3608,-167.8964,2286.6988,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #14,1765.2824,0.0004,325.385,3205.1798,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #15,4900.5663,0.0,3998.9819,5802.1507,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #16,1083.8577,0.0039,123.1149,2044.6006,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #17,3308.1158,0.0,2110.9277,4505.3039,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #18,2358.8594,0.0,1207.366,3510.3529,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #19,411.3075,1.0,-765.868,1588.483,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #20,2802.9063,0.0,1652.3694,3953.4433,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #21,672.2565,1.0,-715.1256,2059.6387,False
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #22,1508.6823,0.0,622.5602,2394.8044,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #23,3217.7,0.0,2212.8214,4222.5786,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #24,1783.9086,0.0101,138.2402,3429.577,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA PREPARATORIA #25,2337.9773,0.0,1360.6243,3315.3302,True
AUDITORIA INTERNA DE LA U.A.N.L.,ESCUELA Y PREPARATORIA TECNICA MEDICA,655.9563,0.895,-244.386,1556.2986,False
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE AGRONOMIA,3960.7044,0.0,3013.5809,4907.828,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE ARQUITECTURA,782.265,0.147,-56.0261,1620.5562,False
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE ARTES ESCENICAS,302.938,1.0,-832.9544,1438.8303,False
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE ARTES VISUALES,388.2908,1.0,-578.775,1355.3567,False
